layer,geoid,topic,stratification,period,value
Zip code,54110,FVDEYLCV,NOT2,2023-2024,813
Zip code,54110,FVDEYLCV,NOT3,2023-2024,618
Zip code,54110,FVDEYLCV,NOT4,2023-2024,928
Zip code,54110,FVDEYLCV,P,2023-2024,3
Zip code,54110,FVDEYLCV,P1,2023-2024,1
Zip code,54110,FVDEYLCV,PK1,2023-2024,4
Zip code,54110,FVDEYLCV,Q,2023-2024,44
Zip code,54110,FVDEYLCV,SPE2,2023-2024,23
Zip code,54110,FVDEYLCV,SPE3,2023-2024,30
Zip code,54110,FVDEYLCV,SWD1,2023-2024,115
Zip code,54110,FVDEYLCV,SWO1,2023-2024,813
Zip code,54110,FVDEYLCV,W,2023-2024,747
Zip code,54110,FVDEYLCV,X1012,2023-2024,82
Zip code,54110,FVDEYLCV,X113,2023-2024,88
Zip code,54110,FVDEYLCV,X1210,2023-2024,76
Zip code,54110,FVDEYLCV,X1S2,2023-2024,45
Zip code,54110,FVDEYLCV,X2N2,2023-2024,69
Zip code,54110,FVDEYLCV,X3R2,2023-2024,56
Zip code,54110,FVDEYLCV,X4T2,2023-2024,70
Zip code,54110,FVDEYLCV,X5T3,2023-2024,64
Zip code,54110,FVDEYLCV,X6T3,2023-2024,79
Zip code,54110,FVDEYLCV,X7T2,2023-2024,53
Zip code,54110,FVDEYLCV,X8T2,2023-2024,76
Zip code,54110,FVDEYLCV,X9T3,2023-2024,69
Zip code,54113,FVDEYLCV,,2023-2024,375
Zip code,54113,FVDEYLCV,A,2023-2024,10
Zip code,54113,FVDEYLCV,B,2023-2024,8
Zip code,54113,FVDEYLCV,ECO1,2023-2024,101
Zip code,54113,FVDEYLCV,EL1,2023-2024,6
Zip code,54113,FVDEYLCV,ENG3,2023-2024,369
Zip code,54113,FVDEYLCV,FEM3,2023-2024,191
Zip code,54113,FVDEYLCV,H,2023-2024,14
Zip code,54113,FVDEYLCV,KIN2,2023-2024,68
Zip code,54113,FVDEYLCV,NOT2,2023-2024,321
Zip code,54113,FVDEYLCV,NOT3,2023-2024,274
Zip code,54113,FVDEYLCV,NOT4,2023-2024,375
Zip code,54113,FVDEYLCV,OTH52,2023-2024,7
Zip code,54113,FVDEYLCV,P,2023-2024,2
Zip code,54113,FVDEYLCV,P1,2023-2024,1
Zip code,54113,FVDEYLCV,Q,2023-2024,20
Zip code,54113,FVDEYLCV,SIG1,2023-2024,6
Zip code,54113,FVDEYLCV,SPE2,2023-2024,10
Zip code,54113,FVDEYLCV,SPE3,2023-2024,19
Zip code,54113,FVDEYLCV,SWD1,2023-2024,54
Zip code,54113,FVDEYLCV,SWO1,2023-2024,321
Zip code,54113,FVDEYLCV,W,2023-2024,320
Zip code,54113,FVDEYLCV,X1S2,2023-2024,69
Zip code,54113,FVDEYLCV,X2N2,2023-2024,69
Zip code,54113,FVDEYLCV,X3R2,2023-2024,79
Zip code,54113,FVDEYLCV,X4T2,2023-2024,90
Zip code,54129,FVDEYLCV,,2023-2024,464
Zip code,54129,FVDEYLCV,A,2023-2024,1
Zip code,54129,FVDEYLCV,B,2023-2024,7
Zip code,54129,FVDEYLCV,ECO1,2023-2024,159
Zip code,54129,FVDEYLCV,EL1,2023-2024,46
Zip code,54129,FVDEYLCV,ENG3,2023-2024,418
Zip code,54129,FVDEYLCV,FEM3,2023-2024,201
Zip code,54129,FVDEYLCV,H,2023-2024,76
Zip code,54129,FVDEYLCV,K41,2023-2024,27
Zip code,54129,FVDEYLCV,KIN2,2023-2024,24
Zip code,54129,FVDEYLCV,MAL15,2023-2024,263
Zip code,54129,FVDEYLCV,NOT2,2023-2024,399
Zip code,54129,FVDEYLCV,NOT3,2023-2024,305
Zip code,54129,FVDEYLCV,NOT4,2023-2024,464
Zip code,54129,FVDEYLCV,PK1,2023-2024,3
Zip code,54129,FVDEYLCV,Q,2023-2024,8
Zip code,54129,FVDEYLCV,SPE2,2023-2024,18
Zip code,54129,FVDEYLCV,SPE3,2023-2024,19
Zip code,54129,FVDEYLCV,SWD1,2023-2024,65
Zip code,54129,FVDEYLCV,SWO1,2023-2024,399
Zip code,54129,FVDEYLCV,W,2023-2024,372
Zip code,54129,FVDEYLCV,X1012,2023-2024,35
Zip code,54129,FVDEYLCV,X113,2023-2024,38
Zip code,54129,FVDEYLCV,X1210,2023-2024,24
Zip code,54129,FVDEYLCV,X1S2,2023-2024,27
Zip code,54129,FVDEYLCV,X2N2,2023-2024,27
Zip code,54129,FVDEYLCV,X3R2,2023-2024,31
Zip code,54129,FVDEYLCV,X4T2,2023-2024,35
Zip code,54129,FVDEYLCV,X5T3,2023-2024,29
Zip code,54129,FVDEYLCV,X6T3,2023-2024,39
Zip code,54129,FVDEYLCV,X7T2,2023-2024,34
Zip code,54129,FVDEYLCV,X8T2,2023-2024,45
Zip code,54129,FVDEYLCV,X9T3,2023-2024,46
Zip code,54130,FVDEYLCV,,2023-2024,4877
Zip code,54130,FVDEYLCV,A,2023-2024,92
Zip code,54130,FVDEYLCV,AUT2,2023-2024,82
Zip code,54130,FVDEYLCV,B,2023-2024,65
Zip code,54130,FVDEYLCV,ECO1,2023-2024,1256
Zip code,54130,FVDEYLCV,EL1,2023-2024,147
Zip code,54130,FVDEYLCV,EMO1,2023-2024,73
Zip code,54130,FVDEYLCV,ENG3,2023-2024,4730
Zip code,54130,FVDEYLCV,FEM3,2023-2024,1739
Zip code,54130,FVDEYLCV,H,2023-2024,327
Zip code,54130,FVDEYLCV,K41,2023-2024,256
Zip code,54130,FVDEYLCV,KIN2,2023-2024,274
Zip code,54130,FVDEYLCV,MAL15,2023-2024,2598
Zip code,54130,FVDEYLCV,NON10,2023-2024,7
Zip code,54130,FVDEYLCV,NOT2,2023-2024,4056
Zip code,54130,FVDEYLCV,NOT3,2023-2024,3621
Zip code,54130,FVDEYLCV,NOT4,2023-2024,4877
Zip code,54130,FVDEYLCV,OTH52,2023-2024,209
Zip code,54130,FVDEYLCV,P,2023-2024,37
Zip code,54130,FVDEYLCV,PK1,2023-2024,21
Zip code,54130,FVDEYLCV,Q,2023-2024,243
Zip code,54130,FVDEYLCV,SIG1,2023-2024,37
Zip code,54130,FVDEYLCV,SPE2,2023-2024,164
Zip code,54130,FVDEYLCV,SPE3,2023-2024,174
Zip code,54130,FVDEYLCV,SWD1,2023-2024,821
Zip code,54130,FVDEYLCV,SWO1,2023-2024,4056
Zip code,54130,FVDEYLCV,W,2023-2024,4113
Zip code,54130,FVDEYLCV,X1012,2023-2024,412
Zip code,54130,FVDEYLCV,X113,2023-2024,447
Zip code,54130,FVDEYLCV,X1210,2023-2024,446
Zip code,54130,FVDEYLCV,X1S2,2023-2024,288
Zip code,54130,FVDEYLCV,X2N2,2023-2024,288
Zip code,54130,FVDEYLCV,X3R2,2023-2024,264
Zip code,54130,FVDEYLCV,X4T2,2023-2024,289
Zip code,54130,FVDEYLCV,X5T3,2023-2024,253
Zip code,54130,FVDEYLCV,X6T3,2023-2024,394
Zip code,54130,FVDEYLCV,X7T2,2023-2024,424
Zip code,54130,FVDEYLCV,X8T2,2023-2024,385
Zip code,54130,FVDEYLCV,X9T3,2023-2024,436
Zip code,54136,FVDEYLCV,,2023-2024,3488
Zip code,54136,FVDEYLCV,A,2023-2024,107
Zip code,54136,FVDEYLCV,AUT2,2023-2024,53
Zip code,54136,FVDEYLCV,B,2023-2024,51
Zip code,54136,FVDEYLCV,ECO1,2023-2024,663
Zip code,54136,FVDEYLCV,EL1,2023-2024,62
Zip code,54136,FVDEYLCV,EMO1,2023-2024,44
Zip code,54136,FVDEYLCV,ENG3,2023-2024,3426
Zip code,54136,FVDEYLCV,FEM3,2023-2024,961
Zip code,54136,FVDEYLCV,H,2023-2024,156
Zip code,54136,FVDEYLCV,K41,2023-2024,265
Zip code,54136,FVDEYLCV,KIN2,2023-2024,84
Zip code,54136,FVDEYLCV,MAL15,2023-2024,1762
Zip code,54136,FVDEYLCV,NOT2,2023-2024,3040
Zip code,54136,FVDEYLCV,NOT3,2023-2024,2825
