layer,geoid,topic,stratification,period,value
City or town,5539650,FVDEYLCV,NOT2,2019-2020,3162
City or town,5539650,FVDEYLCV,SIG1,2019-2020,17
City or town,5539650,FVDEYLCV,SPE3,2019-2020,62
City or town,5539650,FVDEYLCV,SWD1,2019-2020,415
City or town,5539650,FVDEYLCV,SWO1,2019-2020,3162
City or town,5539650,FVDEYLCV,ECO1,2019-2020,719
City or town,5539650,FVDEYLCV,NOT3,2019-2020,2858
City or town,5539650,FVDEYLCV,ENG3,2019-2020,3536
City or town,5539650,FVDEYLCV,FEM3,2019-2020,1715
City or town,5539650,FVDEYLCV,MAL15,2019-2020,1862
City or town,5539650,FVDEYLCV,K41,2019-2020,314
City or town,5539650,FVDEYLCV,PK1,2019-2020,17
City or town,5539650,FVDEYLCV,NOT4,2019-2020,3577
City or town,5539650,FVDEYLCV,A,2019-2020,110
City or town,5539650,FVDEYLCV,B,2019-2020,67
City or town,5539650,FVDEYLCV,H,2019-2020,130
City or town,5539650,FVDEYLCV,Q,2019-2020,93
City or town,5539650,FVDEYLCV,W,2019-2020,3157
City or town,5539650,FVDEYLCV,AUT2,2019-2020,37
City or town,5539650,FVDEYLCV,OTH52,2019-2020,82
City or town,5539650,FVDEYLCV,SPE2,2019-2020,117
City or town,5539650,FVDEYLCV,EL1,2019-2020,41
City or town,5539650,FVDEYLCV,X7T2,2019-2020,386
City or town,5539650,FVDEYLCV,X8T2,2019-2020,388
City or town,5539650,FVDEYLCV,P,2019-2020,13
City or town,5539650,FVDEYLCV,P1,2019-2020,7
City or town,5516500,FVDEYLCV,,2019-2020,405
City or town,5516500,FVDEYLCV,NOT2,2019-2020,349
City or town,5516500,FVDEYLCV,SIG1,2019-2020,10
City or town,5516500,FVDEYLCV,SPE2,2019-2020,8
City or town,5516500,FVDEYLCV,SPE3,2019-2020,27
City or town,5516500,FVDEYLCV,SWD1,2019-2020,56
City or town,5516500,FVDEYLCV,SWO1,2019-2020,349
City or town,5516500,FVDEYLCV,ECO1,2019-2020,104
City or town,5516500,FVDEYLCV,NOT3,2019-2020,301
City or town,5516500,FVDEYLCV,ENG3,2019-2020,405
City or town,5516500,FVDEYLCV,FEM3,2019-2020,200
City or town,5516500,FVDEYLCV,MAL15,2019-2020,205
City or town,5516500,FVDEYLCV,X1S2,2019-2020,72
City or town,5516500,FVDEYLCV,X2N2,2019-2020,88
City or town,5516500,FVDEYLCV,X3R2,2019-2020,77
City or town,5516500,FVDEYLCV,X4T2,2019-2020,81
City or town,5516500,FVDEYLCV,KIN2,2019-2020,87
City or town,5516500,FVDEYLCV,NOT4,2019-2020,405
City or town,5516500,FVDEYLCV,A,2019-2020,5
City or town,5516500,FVDEYLCV,B,2019-2020,3
City or town,5516500,FVDEYLCV,H,2019-2020,17
City or town,5516500,FVDEYLCV,Q,2019-2020,14
City or town,5516500,FVDEYLCV,W,2019-2020,366
City or town,5539650,FVDEYLCV,DEA1,2019-2020,8
City or town,5539650,FVDEYLCV,EMO1,2019-2020,23
City or town,5539650,FVDEYLCV,INT7,2019-2020,12
City or town,5539650,FVDEYLCV,X1012,2019-2020,394
City or town,5539650,FVDEYLCV,X113,2019-2020,392
City or town,5539650,FVDEYLCV,X1210,2019-2020,400
City or town,5539650,FVDEYLCV,X9T3,2019-2020,405
City or town,5539650,FVDEYLCV,X5T3,2019-2020,209
City or town,5539650,FVDEYLCV,X6T3,2019-2020,218
City or town,5539650,FVDEYLCV,X1S2,2019-2020,87
City or town,5539650,FVDEYLCV,X2N2,2019-2020,92
City or town,5539650,FVDEYLCV,X3R2,2019-2020,95
City or town,5539650,FVDEYLCV,X4T2,2019-2020,91
City or town,5539650,FVDEYLCV,KIN2,2019-2020,89
City or town,5544950,FVDEYLCV,,2019-2020,1611
City or town,5544950,FVDEYLCV,NOT2,2019-2020,1413
City or town,5544950,FVDEYLCV,SWD1,2019-2020,198
City or town,5544950,FVDEYLCV,SWO1,2019-2020,1413
City or town,5544950,FVDEYLCV,ECO1,2019-2020,572
City or town,5544950,FVDEYLCV,NOT3,2019-2020,1039
City or town,5544950,FVDEYLCV,ENG3,2019-2020,1529
City or town,5544950,FVDEYLCV,FEM3,2019-2020,769
City or town,5544950,FVDEYLCV,MAL15,2019-2020,842
City or town,5544950,FVDEYLCV,X1S2,2019-2020,120
City or town,5544950,FVDEYLCV,X2N2,2019-2020,111
City or town,5544950,FVDEYLCV,X3R2,2019-2020,113
City or town,5544950,FVDEYLCV,X4T2,2019-2020,103
City or town,5544950,FVDEYLCV,X5T3,2019-2020,115
City or town,5544950,FVDEYLCV,X6T3,2019-2020,106
City or town,5544950,FVDEYLCV,X7T2,2019-2020,122
City or town,5544950,FVDEYLCV,X8T2,2019-2020,96
City or town,5544950,FVDEYLCV,KIN2,2019-2020,106
City or town,5544950,FVDEYLCV,NOT4,2019-2020,1611
City or town,5544950,FVDEYLCV,H,2019-2020,142
City or town,5544950,FVDEYLCV,Q,2019-2020,42
City or town,5544950,FVDEYLCV,W,2019-2020,1340
City or town,5544950,FVDEYLCV,EL1,2019-2020,82
City or town,5544950,FVDEYLCV,X1012,2019-2020,132
City or town,5544950,FVDEYLCV,X113,2019-2020,129
City or town,5544950,FVDEYLCV,X1210,2019-2020,114
City or town,5544950,FVDEYLCV,X9T3,2019-2020,137
City or town,5544950,FVDEYLCV,A,2019-2020,33
City or town,5544950,FVDEYLCV,B,2019-2020,41
City or town,5544950,FVDEYLCV,AUT2,2019-2020,21
City or town,5544950,FVDEYLCV,EMO1,2019-2020,12
City or town,5544950,FVDEYLCV,OTH52,2019-2020,27
City or town,5544950,FVDEYLCV,SIG1,2019-2020,25
City or town,5544950,FVDEYLCV,SPE3,2019-2020,22
City or town,5544950,FVDEYLCV,K41,2019-2020,98
City or town,5544950,FVDEYLCV,PK1,2019-2020,9
City or town,5544950,FVDEYLCV,P,2019-2020,13
City or town,5544950,FVDEYLCV,SPE2,2019-2020,21
City or town,5550825,FVDEYLCV,,2019-2020,3221
City or town,5550825,FVDEYLCV,NOT2,2019-2020,2662
City or town,5550825,FVDEYLCV,SIG1,2019-2020,85
City or town,5550825,FVDEYLCV,SWD1,2019-2020,559
City or town,5550825,FVDEYLCV,SWO1,2019-2020,2662
City or town,5550825,FVDEYLCV,ECO1,2019-2020,2026
City or town,5550825,FVDEYLCV,NOT3,2019-2020,1195
City or town,5550825,FVDEYLCV,EL1,2019-2020,491
City or town,5550825,FVDEYLCV,ENG3,2019-2020,2730
City or town,5550825,FVDEYLCV,FEM3,2019-2020,1520
City or town,5550825,FVDEYLCV,MAL15,2019-2020,1701
City or town,5550825,FVDEYLCV,X1S2,2019-2020,249
City or town,5550825,FVDEYLCV,X2N2,2019-2020,246
City or town,5550825,FVDEYLCV,X3R2,2019-2020,205
City or town,5550825,FVDEYLCV,X4T2,2019-2020,211
City or town,5550825,FVDEYLCV,X5T3,2019-2020,229
City or town,5550825,FVDEYLCV,KIN2,2019-2020,193
City or town,5550825,FVDEYLCV,NOT4,2019-2020,3221
City or town,5550825,FVDEYLCV,A,2019-2020,161
City or town,5550825,FVDEYLCV,B,2019-2020,177
City or town,5550825,FVDEYLCV,H,2019-2020,687
City or town,5550825,FVDEYLCV,Q,2019-2020,228
City or town,5550825,FVDEYLCV,W,2019-2020,1953
City or town,5550825,FVDEYLCV,AUT2,2019-2020,49
City or town,5550825,FVDEYLCV,EMO1,2019-2020,85
City or town,5550825,FVDEYLCV,SPE2,2019-2020,117
City or town,5550825,FVDEYLCV,SPE3,2019-2020,83
City or town,5550825,FVDEYLCV,K41,2019-2020,199
City or town,5550825,FVDEYLCV,P,2019-2020,14
City or town,5550825,FVDEYLCV,OTH52,2019-2020,69
City or town,5550825,FVDEYLCV,PK1,2019-2020,22
City or town,5550825,FVDEYLCV,X6T3,2019-2020,260
City or town,5550825,FVDEYLCV,X7T2,2019-2020,263
City or town,5550825,FVDEYLCV,X8T2,2019-2020,228
City or town,5550825,FVDEYLCV,P1,2019-2020,1
City or town,5550825,FVDEYLCV,INT7,2019-2020,16
City or town,5550825,FVDEYLCV,X1012,2019-2020,232
City or town,5550825,FVDEYLCV,X113,2019-2020,203
City or town,5550825,FVDEYLCV,X1210,2019-2020,221
City or town,5550825,FVDEYLCV,X9T3,2019-2020,260
City or town,5555750,FVDEYLCV,,2019-2020,6702
City or town,5555750,FVDEYLCV,NOT2,2019-2020,5727
City or town,5555750,FVDEYLCV,SWD1,2019-2020,975
City or town,5555750,FVDEYLCV,SWO1,2019-2020,5727
City or town,5555750,FVDEYLCV,ECO1,2019-2020,2268
City or town,5555750,FVDEYLCV,NOT3,2019-2020,4434
City or town,5555750,FVDEYLCV,EL1,2019-2020,157
City or town,5555750,FVDEYLCV,ENG3,2019-2020,6545
City or town,5555750,FVDEYLCV,FEM3,2019-2020,3189
City or town,5555750,FVDEYLCV,MAL15,2019-2020,3513
City or town,5555750,FVDEYLCV,X1S2,2019-2020,456
City or town,5555750,FVDEYLCV,X2N2,2019-2020,458
City or town,5555750,FVDEYLCV,X3R2,2019-2020,497
City or town,5555750,FVDEYLCV,X4T2,2019-2020,494
City or town,5555750,FVDEYLCV,X5T3,2019-2020,461
City or town,5555750,FVDEYLCV,KIN2,2019-2020,461
City or town,5555750,FVDEYLCV,NOT4,2019-2020,6702
City or town,5555750,FVDEYLCV,A,2019-2020,205
City or town,5555750,FVDEYLCV,H,2019-2020,460
City or town,5555750,FVDEYLCV,Q,2019-2020,242
City or town,5555750,FVDEYLCV,W,2019-2020,5612
City or town,5555750,FVDEYLCV,AUT2,2019-2020,84
City or town,5555750,FVDEYLCV,SPE3,2019-2020,235
City or town,5555750,FVDEYLCV,B,2019-2020,149
City or town,5555750,FVDEYLCV,P1,2019-2020,2
City or town,5555750,FVDEYLCV,SIG1,2019-2020,104
City or town,5555750,FVDEYLCV,P,2019-2020,32
City or town,5555750,FVDEYLCV,SPE2,2019-2020,173
City or town,5555750,FVDEYLCV,EMO1,2019-2020,91
City or town,5555750,FVDEYLCV,INT7,2019-2020,27
City or town,5555750,FVDEYLCV,OTH52,2019-2020,95
City or town,5555750,FVDEYLCV,X6T3,2019-2020,467
City or town,5555750,FVDEYLCV,X1012,2019-2020,517
City or town,5555750,FVDEYLCV,X113,2019-2020,494
City or town,5555750,FVDEYLCV,X1210,2019-2020,506
City or town,5555750,FVDEYLCV,X9T3,2019-2020,504
City or town,5555750,FVDEYLCV,X7T2,2019-2020,502
City or town,5555750,FVDEYLCV,X8T2,2019-2020,467
City or town,5555750,FVDEYLCV,K41,2019-2020,386
City or town,5555750,FVDEYLCV,PK1,2019-2020,32
City or town,5556800,FVDEYLCV,,2019-2020,1018
City or town,5556800,FVDEYLCV,NOT2,2019-2020,877
City or town,5556800,FVDEYLCV,SIG1,2019-2020,18
City or town,5556800,FVDEYLCV,SPE3,2019-2020,45
City or town,5556800,FVDEYLCV,SWD1,2019-2020,141
City or town,5556800,FVDEYLCV,SWO1,2019-2020,877
City or town,5556800,FVDEYLCV,ECO1,2019-2020,255
City or town,5556800,FVDEYLCV,NOT3,2019-2020,763
City or town,5556800,FVDEYLCV,EL1,2019-2020,34
City or town,5556800,FVDEYLCV,ENG3,2019-2020,984
City or town,5556800,FVDEYLCV,FEM3,2019-2020,475
City or town,5556800,FVDEYLCV,MAL15,2019-2020,543
City or town,5556800,FVDEYLCV,X1S2,2019-2020,69
City or town,5556800,FVDEYLCV,X2N2,2019-2020,75
City or town,5556800,FVDEYLCV,X3R2,2019-2020,66
City or town,5556800,FVDEYLCV,X4T2,2019-2020,68
City or town,5556800,FVDEYLCV,X5T3,2019-2020,73
City or town,5556800,FVDEYLCV,K41,2019-2020,43
City or town,5556800,FVDEYLCV,KIN2,2019-2020,63
City or town,5556800,FVDEYLCV,PK1,2019-2020,3
